Stella Number	Topic
2990	probs. w/ (seemingly) insuff. info
2490	probs. w/ ans. a range of values
2470	profit and loss
3754	"proofs, algebraic"
3752	"proofs, geometric "
3755	"proofs, phony"
2290	proportions (cf. 2560)
3620	pyramids
3475	Pythagoras in 3 dimensions
3470	Pythagorean theorem
4180	radians
1395	radical manipulation
2180	"radicals, roots"
2544	range
1200	rank ordering
2420	rates
2140	ratio
2250	rational equations
2150	rational expressions
2152	"rational expressions, evaluating"
1368	rational number arithmetic
1360	rational numbers
1400	rationalization
2010	"real number system, structure"
2190	reciprocals
3360	rectangles
3615	rectangular prisms
3721	reflections
3720	"reflections, rotations, translations"
2520	relations
2670	remainder theorem
1322	remainders
3370	rhombi
1240	river crossing
1335	"roots, higher"
3722	rotations
5000	SAT for algebra 1
5300	SAT for algebra/trig and beyond
5200	SAT for geometry
1255	"scales, two-pan"
3540	secants
3602	sections of solids
3080	"separation (regions, counting)"
2701	sequences
2700	sequences & series (cf. 2860-80)
2850	sequences (progressions)
2860	"sequences, arithmetic (cf. 1430)"
2870	"sequences, geometric (cf. 1440, 3590)"
2880	"sequences, harmonic (cf. 1450)"
2702	series
2900	series
2030	sets (cf. 1290)
3580	similarity (proportion)
4060	sin(x + y)
2761	slope of line
3600	solids
1230	"sorting, misc.: which is which"
1220	sorting: Canadian owns the wombat
3640	spheres
2800	spheres (analytical)
1332	square roots
3380	squares
1330	squares & square roots (cf.1670)
1331	squares (cf. 1670)
1710	sums of integers
3070	"suppl., compl. angles "
3072	supplementary angles
2080	symbol manipulation (cf. 2110)
3530	tangents
1026	tesselation
3630	tetrahedrons
3140	three-dimen. prob. w/ cong. triang.
1090	"three-dimen. problems, elem ."
1190	"time, incl. calendars"
1060	toothpicks
2407	translating words to diagrams
2405	translating words to equations
3723	translations
3340	trapezoids
1040	"trees in rows, planting"
3100	triangles and congruence
3155	"triangles, advanced, general"
3150	"triangles, elementary: general"
3170	"triangles, equilateral"
3160	"triangles, isosceles"
3180	"triangles, right"
3200	"triangles, right isosceles"
3190	"triangles, right, 30-60"
4040	"trigonometry functions, graphs of"
4340	"trigonometry on polyhedra, numer."
4050	trigonometry on triangles
4200	"trigonometry probs, juicy numerical"
4000	"trigonometry, basics"
4220	"trigonometry, spherical / 3-d probs"
1094	two-dimen. versions of 3-d prob.
2430	valves
2560	"variation, direct (cf. 2290)"
2570	"variation, inverse"
2970	vectors
1290	venn diagrams (cf. 2030)
1000	visual problems
1015	"visual sequences, 2-dimen."
1010	"visual sequences, linear"
3650	volume
2448	volume (cf. 3650)
1520	wages
2408	word prob. w/ diagrams
1540	"word problems, hard but (""typical"")"
1530	"word problems, whole #'s (""typical"")"
1550	word problems: soft-core algebra
1079	"words, problems about"
